index,internal_id,internal_name,web_name,time_ms,duration_ms,goldMove
0,34,Bras_Genou,earthsong_bras_genou,20821,2603,0
1,35,Poing_Terre,earthsong_poing_terre,24291,1735,0
2,36,Bras_Sol,earthsong_bras_sol,27762,2603,0
3,37,Jette,earthsong_jette,30364,2603,0
4,34,Bras_Genou,earthsong_bras_genou,34702,2603,0
5,35,Poing_Terre,earthsong_poing_terre,38172,1735,0
6,36,Bras_Sol,earthsong_bras_sol,41642,2603,0
7,37,Jette,earthsong_jette,44245,2603,0
8,38,Lever,earthsong_lever,47715,1735,0
9,45,Poitrine_R,earthsong_poitrine_r,51185,868,0
10,45,Poitrine_R,earthsong_poitrine_r,52053,868,0
11,45,Poitrine_R,earthsong_poitrine_r,52921,868,0
12,39,Poitrine_L,earthsong_poitrine_l,54656,868,0
13,39,Poitrine_L,earthsong_poitrine_l,55523,868,0
14,39,Poitrine_L,earthsong_poitrine_l,56391,868,0
15,40,Spin,earthsong_spin,58126,1735,0
16,41,Bras_U,earthsong_bras_u,61596,1735,0
17,42,Bras_Down,earthsong_bras_down,65066,1735,0
18,43,Allemand,earthsong_allemand,68537,2603,0
19,44,Pointer_Sol,earthsong_pointer_sol,71139,1735,0
20,34,Bras_Genou,earthsong_bras_genou,76344,2603,0
21,35,Poing_Terre,earthsong_poing_terre,79815,1735,0
22,36,Bras_Sol,earthsong_bras_sol,83285,2603,0
23,37,Jette,earthsong_jette,85888,2603,0
24,34,Bras_Genou,earthsong_bras_genou,90225,2603,0
25,35,Poing_Terre,earthsong_poing_terre,93696,1735,0
26,36,Bras_Sol,earthsong_bras_sol,97166,2603,0
27,37,Jette,earthsong_jette,99768,2603,0
28,38,Lever,earthsong_lever,103239,1735,0
29,45,Poitrine_R,earthsong_poitrine_r,106709,868,0
30,45,Poitrine_R,earthsong_poitrine_r,107576,868,0
31,45,Poitrine_R,earthsong_poitrine_r,108444,868,0
32,39,Poitrine_L,earthsong_poitrine_l,110179,868,0
33,39,Poitrine_L,earthsong_poitrine_l,111047,868,0
34,39,Poitrine_L,earthsong_poitrine_l,111914,868,0
